"Codigo","Descricao","Pasta","Familia","Subfamilia","Segmento","TemProjeto","TemBloco","TemRender"
"S102","MESA INOX 430 1,90X070X0,85 LISA PRAT PERF","D:\2022\MOBILIARIO\MESAS\COMERCIAL\CENTRO\S102 - MESA INOX 430 1,90X070X0,85 LISA PRAT PERF","MOBILIARIO","MESAS","COMERCIAL","True","True","True"
"S1130","ESTANTE 430 4 PRAT  PERF DESM","D:\2022\MOBILIARIO\ESTANTES\PLANOS PERFURADOS\S1130 - ESTANTE 430 4 PRAT  PERF DESM","MOBILIARIO","ESTANTES","PLANOS PERFURADOS","True","True","True"
"S1132","ESTANTE INOX 430 1,50 X 0,50 X 1,75 - C04 PRAT. PERF. DESM","D:\2022\MOBILIARIO\ESTANTES\PLANOS PERFURADOS\S1132 - ESTANTE INOX 430 1,50 X 0,50 X 1,75 - C04 PRAT. PERF. DESM","MOBILIARIO","ESTANTES","PLANOS PERFURADOS","True","False","False"
"S1170","ESTANTE INOX 430 0,90X0,50X1,75 -4 P PERF","D:\2022\MOBILIARIO\ESTANTES\PLANOS PERFURADOS\S1170 - ESTANTE INOX 430 0,90X0,50X1,75 -4 P PERF","MOBILIARIO","ESTANTES","PLANOS PERFURADOS","True","True","True"
"S129","ESTANTE INOX 430 4 PLANOS LISOS 900X500X1750","D:\2022\MOBILIARIO\ESTANTES\PLANOS LISOS\S129- ESTANTE INOX 430 4 PLANOS LISOS 900X500X1750","MOBILIARIO","ESTANTES","PLANOS LISOS","True","True","True"
"S130","ESTANTE INOX 430 4 PLANOS LISOS 1000X500X1750","D:\2022\MOBILIARIO\ESTANTES\PLANOS LISOS\S130 - ESTANTE INOX 430 4 PLANOS LISOS 1000X500X1750","MOBILIARIO","ESTANTES","PLANOS LISOS","True","True","True"
"S150002","FRITADEIRA ELETRICA FULL 23L 220V-CDIG-400X750X1100MM","D:\2022\COCÇÃO\LINHA PROFISSIONAL\LINHA 700\2024\FRITADEIRA\S150002 - FRITADEIRA ELETRICA FULL 23L 220V-CDIG-400X750X1100MM","COCÇÃO","LINHA PROFISSIONAL","LINHA 700","True","True","True"
"S150045","BASE DE APOIO TUBULAR PARA CONSERVADOR DE FRITURAS LA","D:\2022\COCÇÃO\LINHA AMERICANA\BASE APOIO\S150045 - BASE DE APOIO TUBULAR PARA CONSERVADOR DE FRITURAS LA","COCÇÃO","LINHA AMERICANA","BASE APOIO","True","True","True"
"S150046","BASE DE APOIO TUBULAR LA 320X660x670 MM","D:\2022\COCÇÃO\LINHA AMERICANA\BASE APOIO\S150046-BASE DE APOIO TUBULAR LA 320X660x670 MM","COCÇÃO","LINHA AMERICANA","BASE APOIO","True","False","False"
"S150047","BASE DE APOIO TUBULAR LA 620X660X670 MM","D:\2022\COCÇÃO\LINHA AMERICANA\BASE APOIO\S150047 - BASE DE APOIO TUBULAR LA 620X660X670 MM","COCÇÃO","LINHA AMERICANA","BASE APOIO","True","False","False"
"S150048","BASE DE APOIO TUBULAR LA 920X660x670 MM","D:\2022\COCÇÃO\LINHA AMERICANA\BASE APOIO\S150048 - BASE DE APOIO TUBULAR LA 920X660x670 MM","COCÇÃO","LINHA AMERICANA","BASE APOIO","True","True","True"
"S150049","BASE DE APOIO TUBULAR LA 1200X660X670 MM","D:\2022\COCÇÃO\LINHA AMERICANA\BASE APOIO\S150049 - BASE DE APOIO TUBULAR LA 1200X660X670 MM","COCÇÃO","LINHA AMERICANA","BASE APOIO","True","True","True"
"S150051","MODULO BASE ABERTO 720X600X650 MM","D:\2022\COCÇÃO\LINHA PROFISSIONAL\LINHA 700\MÓDULO BASE\S150051 - MODULO BASE ABERTO 720X600X650 MM","COCÇÃO","LINHA PROFISSIONAL","LINHA 700","True","True","True"
"S150052","MODULO BASE ABERTO 1080X600X650 MM","D:\2022\COCÇÃO\LINHA PROFISSIONAL\LINHA 700\MÓDULO BASE\S150052 - MODULO BASE ABERTO 1080X600X650 MM","COCÇÃO","LINHA PROFISSIONAL","LINHA 700","True","True","True"
"S150076","BANHO MARIA A GAS GN - 360X750X270 MM","D:\2022\COCÇÃO\LINHA PROFISSIONAL\LINHA 700\2024\BANHO MARIA\S150076 - BANHO MARIA A GAS GN - 360X750X270 MM","COCÇÃO","LINHA PROFISSIONAL","LINHA 700","True","True","True"
"S150093","CHAR BROILER A GAS LA-600MM","D:\2022\COCÇÃO\LINHA AMERICANA\CHAR BROILER\S150093- CHAR BROILER A GAS LA-600MM","COCÇÃO","LINHA AMERICANA","CHAR BROILER","True","True","True"
"S150103","MODULO NEUTRO 360 COM CUBA","D:\2022\COCÇÃO\LINHA PROFISSIONAL\LINHA 700\MÓDULO NEUTRO\S150103-MODULO NEUTRO 360 COM CUBA","COCÇÃO","LINHA PROFISSIONAL","LINHA 700","True","False","True"
"S150109","HEAT LAMP DUPLO SUSPENSO","D:\2022\LINHA DELIVERY\S150109 - HEAT LAMP DUPLO SUSPENSO","LINHA DELIVERY","S150109 - HEAT LAMP DUPLO SUSPENSO","","True","True","True"
