"Codigo","Descricao","Dimensao","TemDim"
"S102","MESA INOX 430 1,90X070X0,85 LISA PRAT PERF","90X070","True"
"S1130","ESTANTE 430 4 PRAT  PERF DESM","","False"
"S1132","ESTANTE INOX 430 1,50 X 0,50 X 1,75 - C04 PRAT. PERF. DESM","","False"
"S1170","ESTANTE INOX 430 0,90X0,50X1,75 -4 P PERF","","False"
"S129","ESTANTE INOX 430 4 PLANOS LISOS 900X500X1750","900X500X1750","True"
"S130","ESTANTE INOX 430 4 PLANOS LISOS 1000X500X1750","1000X500X1750","True"
"S150002","FRITADEIRA ELETRICA FULL 23L 220V-CDIG-400X750X1100MM","400X750X1100","True"
"S150045","BASE DE APOIO TUBULAR PARA CONSERVADOR DE FRITURAS LA","","False"
"S150046","BASE DE APOIO TUBULAR LA 320X660x670 MM","320X660x670","True"
"S150047","BASE DE APOIO TUBULAR LA 620X660X670 MM","620X660X670","True"
"S150048","BASE DE APOIO TUBULAR LA 920X660x670 MM","920X660x670","True"
"S150049","BASE DE APOIO TUBULAR LA 1200X660X670 MM","1200X660X670","True"
"S150051","MODULO BASE ABERTO 720X600X650 MM","720X600X650","True"
"S150052","MODULO BASE ABERTO 1080X600X650 MM","1080X600X650","True"
"S150076","BANHO MARIA A GAS GN - 360X750X270 MM","360X750X270","True"
"S150093","CHAR BROILER A GAS LA-600MM","","False"
"S150103","MODULO NEUTRO 360 COM CUBA","","False"
"S150109","HEAT LAMP DUPLO SUSPENSO","","False"
"S150112","MODULO COMPLEMENTO ESCORREDOR P EMBALAGEM E SACHES C PRATELEIRAS","","False"
"S150114","CHAPA ELÉTRICA LA 300MM 300X680X325MM","300X680X325","True"
"S150115","CHAPA ELÉTRICA LA 600MM 600X680X325MM","600X680X325","True"
"S150116","CHAPA ELÉTRICA LA 900MM 900X680X325MM","900X680X325","True"
"S150117","FOGÃO ELÉTRICO LA 300mm 300X680X325mm","300X680X325","True"
"S150119","FOGÃO ELÉTRICO LA 900mm 900X680X325mm","900X680X325","True"
"S150120","CHAR BROILER ELÉTRICO LA 300mm 300X680X325","300X680X325","True"
"S150121","CHAR BROILER ELÉTRICO LA 600mm 600X680X325","600X680X325","True"
"S150122","CHAR BROILER ELÉTRICO LA 900mm 900X680X325","900X680X325","True"
"S150123","TAMPA PARA FRITADEIRA LINHA AMERICANA GÁS","","False"
"S150124","TAMPA PARA FRITADEIRA LINHA AMERICANA ELÉTRICA","","False"
"S150128","PEGADORDOSADOR DE BATATAS","","False"
"S150129","FRITADEIRA ELETRICA FULL 23L 220V LA - 400X750X1100MM","400X750X1100","True"
"S150130","FRITADEIRA ELETRICA SPLI 23L (11,5+11,5) 220V LA -400X750X1100MM","400X750X1100","True"
"S150131","CARRO FILTRO DE OLEO INOX 304 - 612X582X1013MM","612X582X1013","True"
"S150132","CHAPA ELÉTRICA LA 1200MM 1200X680X325MM","1200X680X325","True"
"S150133","CHAR BROILER ELÉTRICO LA 1200MM 1200X680X325MM","1200X680X325","True"
"S150134","CHAPA A GAS GLP LA 300MM 300X680X325MM","300X680X325","True"
"S150135","CHAR BROILER A GAS GLP LA 330MM 330X680X325MM","330X680X325","True"
"S150136","CHAPA A GAS GN LA 300MM 300X680X325MM","300X680X325","True"
"S150137","CHAR BROILER A GAS GN LA 330MM 330X680X325MM","330X680X325","True"
"S150139","BASE DE APOIO TUBULAR LA 470X660x670 MM","470X660x670","True"
"S150141","CHAR BROILER ELÉTRICO LA 600mm 600X680X325 MM 380 TRIFÁSICO","600X680X325","True"
"S150144","BASE DE APOIO TUBULAR LA 350X660X670 MM","350X660X670","True"
"S150145","CHAPA LA 600MM 600X680X325 C CONTROLADOR DE TEMPERATURA","600X680X325","True"
"S150149","CHAPA ELÉTRICA LA 1200MM 1200X680X325MM 380V","1200X680X325","True"
"S150153","CHURRASQUEIRA BRASEIRO GRILL MED. 255x750x326mm","255x750x326","True"
"S150157","FRITADEIRA ELETRICA 3 TANQUES 23L (7,6+7,6+7,6) 220V LA - 600X750X1200MM","600X750X1200","True"
"S150191","CHAPA BIFEIRA DE SOBREPOR P FOGAO INDUSTRIAL  - AÇO CARBONO 1020 - 420X880","420X880","True"
"S150201","CHAPA A GAS GLP L700 720X750X270MM","720X750X270","True"
"S150203","CHAPA ELETRICA L700 360X750X270MM 220V TRIF","360X750X270","True"
"S150207","CHAPA A GAS L700 720MM GN 720X750X270MM","720X750X270","True"
"S150251","CHAR BROILER A GAS L700 720 MM","","False"
"S150253","CHAIR BROILER ELETRICO L700 360X750X900mm 220V TRI F","360X750X900","True"
