folderPath,fileCount,totalMB,relevanceScore
D:\2022\0-ARQUIVOS\VICTOR\Ordens de Producao - Custos,12,0.28,37
D:\RICARDINHO\CHAPA 600MM 600X680X325 C CONTROLADOR DE TEMPERATURA\PDF'S,29,2.03,29
D:\BIBLIOTECA DE PROJETOS\FUNDIDOS E USINADOS,31,1.79,22
D:\2022\MOBILIARIO\PRATELEIRA SUPERIOR\SOBRE MONTANTES\S206660 - PRATEL SUP LISA SOBRE MONTANTES 2 PLANOS-304-2000X400X800 MM - 1 P. C 2 HEAT LAMP E RECORTE 2 P. PARCIAL\PROJETO,2,0.04,18
D:\2022\PROTOTIPOS\S151055 - CAMARA DE MATURAÇÃO PARA PESCADOS INOX 304 700X800X2050MM\Backup projeto\PROJETO,2,0.06,16
D:\2022\AUXILIARES\CARROS\CARRO PLATAFORMA\S206773 - CARRO AUXILIAR 02 PLANOS 304 C GUIDAO 530X1500X850\PROJETO,2,0.05,16
D:\2022\COCÇÃO\LINHA AMERICANA\CONSERVADOR DE FRITURA\S206431 - CONSERVADOR DE FRITURA LA 350 TOMADA PADRAO PARAGUAI,2,0.32,16
D:\2022\PROTOTIPOS\CHURRASQUEIRA ELÉTRICA,2,0.06,10
D:\2022\PROTOTIPOS\ESTUFA VERTICAL AQUECIDA\PROJETO,2,0.17,10
D:\2022\MOBILIARIO\ARMARIOS\S206552 - ARMARIO VERTICAL FECHADO INOX 304 1000X500X1500 C 3 PRAT. INTERM\PROJETO,2,0.05,10
D:\2022\MOBILIARIO\MESAS\ESPECIAIS\S206535-BANCADA DE ENCOSTO L PRO CONTRAV-INOX-304- 700X640X1695 MM C PRAT. SUP. TRAY REST\PROJETO,2,0.05,10
D:\2022\MOBILIARIO\MESAS\ESPECIAIS\S206201 BANCADA DE ENCOSTO LISA C FURO P DETRITOS 1800X700X900,2,0.18,10
D:\2022\MOBILIARIO\MESAS\LISA\CENTRO\ESPECIAL\S206266 - MESA DE CENTRO COM GN's 1900X700X850,2,0.25,10
D:\2022\MOBILIARIO\GABINETES\S206239 - 1000X700X900 - (ATUALIZAR)\PROJETO,2,0.13,10
D:\2022\DISTRIBUIÇÃO\CORRE BANDEJAS\ESPECIAL\S204391 - CORREBANDEJA 500X300,2,0.16,10
D:\2022\DISTRIBUIÇÃO\VITRINES\BAIXA\REFRIGERADA\S205876 - ESTUFA PASTRY ZEPHYR CASE 2000X880X1370 MM\PROJETO,2,0.22,10
D:\2022\DISTRIBUIÇÃO\VITRINES\BAIXA\REFRIGERADA\S207122 - ESTUFA FRIA BAIXA INOX - 1300X700X1160MM,2,0.05,10
D:\2022\DISTRIBUIÇÃO\VITRINES\BAIXA\AQUECIDA\S206532 - VITRINE AQUECIDA DE SOBREPOR PRETA 1000X670X330 MM\PROJETO,2,0.05,10
D:\2022\BAR\MÓDULO LIQUIDIFICADOR\S206117 - MODULO LIQUIDIFICADOR 500 INOX 200 C CUBA DE GELO - 500X880X850MM\PROJETO,2,0.05,10
D:\2022\BAR\BANDEJA COLETORA\S202202 - BANDEJA COLETORA EM AÇO INOX 600X400X20MM\PROJETO,2,0.05,10
D:\2022\AUXILIARES\S206356 - CESTO PARA COZEDOR DE MASSAS A GAS INOX 304 COM ALÇAS 489x453x230mm\PROJETO,2,0.12,10
D:\2022\AUXILIARES\ESCORREDOR DE COPOS\S206280 - GRELHA PERFURADA ESCORREDOR DE COPOS 2030X98X20,2,0.19,10
D:\2022\0-ARQUIVOS\GABRIEL\S204088 - CARRO P DETRITOS RED 478X740 S PEDAL-TAMPA C FUNIL- 304\PROJETO,2,0.1,10
D:\2022\0-ARQUIVOS\MARCOS\AREA DE TRABALHO\FOTOS,10,0.18,10
D:\2022\TEMPLATE PADRÃO\PLANILHAS EXCEL,9,0.83,9
D:\2022\REDES\GIRAFFAS\S207015 - CHAPA CLAM SHELL 3 PLATTERS\PROJETO,1,0.03,9
D:\2022\PROTOTIPOS\S150115 - CHAPA ELÉTRICA LA 600MM 600X680X325MM\PROJETO,1,0.02,9
D:\2022\PROTOTIPOS\S150114 - CHAPA ELÉTRICA LA 300MM 300X680X325MM\PROJETO,1,0.03,9
D:\2022\PROTOTIPOS\S150132 - CHAPA ELÉTRICA LA 1200MM 1200X680X325MM\PROJETO,1,0.02,9
D:\2022\MOBILIARIO\TAMPO\S207024 - TAMPO LISO DE ENCOSTO L PRO-304-700X700X40 MM C RECORTE PARA COLUNA\PROJETO,1,0.02,9
