filePath,ext,sizeBytes,sizeMB,domain,relevanceScore,keywordHits
D:\PUNÇÕES PUNCIONADEIRA.xlsx,.xlsx,14318,0.014,outros,1,
D:\INOXVAL\INOXVAL\PROJETOS EM ANDAMENTO\O.S 0841 - HORTRON INDUSTRIA\MONT. BANCADA FUNDO (DESENHO DE APROVAÇÃO) 12-11.PDF,.pdf,130098,0.124,movel_inox,0,
D:\INOXVAL\INOXVAL\PROJETOS EM ANDAMENTO\O.S 0841 - HORTRON INDUSTRIA\MONT. BANCADA FUNDO (DESENHO DE APROVAÇÃO) 10-11.pdf,.pdf,130162,0.124,movel_inox,0,
D:\INOXVAL\INOXVAL\PROJETOS EM ANDAMENTO\O.S 0841 - HORTRON INDUSTRIA\MONT. BANCADA FRENTE (DESENHO DE APROVAÇÃO) 10-11.PDF,.pdf,100570,0.096,movel_inox,0,
D:\INOXVAL\INOXVAL\PROJETOS EM ANDAMENTO\O.S - 0015 - USP - SP\O.S-0015-M-001-1000.pdf,.pdf,147291,0.14,outros,0,
D:\INOXVAL\INOXVAL\PROJETOS EM ANDAMENTO\O.S - 0015 - USP - SP\O.S-0015-M-001-1000_-_DESENHO_TECNICO_PARA_APREOVAÇÃO.pdf,.pdf,56057,0.053,outros,0,
D:\INOXVAL\INOXVAL\PROJETOS EM ANDAMENTO\O.S - 0015 - USP - SP\O.S-0015-P-001-01.pdf,.pdf,116881,0.111,outros,0,
D:\INOXVAL\INOXVAL\PROJETOS EM ANDAMENTO\O.S - 0015 - USP - SP\O.S-0015-P-001-02.pdf,.pdf,97223,0.093,outros,0,
D:\INOXVAL\INOXVAL\PROJETOS EM ANDAMENTO\O.S - 0015 - USP - SP\O.S-0015-P-001-03.pdf,.pdf,98279,0.094,outros,0,
D:\INOXVAL\INOXVAL\PROJETOS EM ANDAMENTO\O.S - 0015 - USP - SP\O.S-0015-P-001-04.pdf,.pdf,97151,0.093,outros,0,
D:\INOXVAL\INOXVAL\BIBLIOTECA DE PROJETOS\02 - COMPONENTES SOLIDWORKS\DIVERSOS\PEÇA DESENHJO.pdf,.pdf,79666,0.076,outros,0,
D:\INOXVAL\INOXVAL\BIBLIOTECA DE PROJETOS\02 - COMPONENTES SOLIDWORKS\FERRAMENTAS DE DOBRA\FACA-RET-001-1000.pdf,.pdf,98976,0.094,outros,1,dobra
D:\INOXVAL\INOXVAL\CONFIGURAÇÃO SOLIDWORKS\CUBA-AVULSA.xls,.xls,37888,0.036,lavacao,1,
D:\INOXVAL\INOXVAL\CONFIGURAÇÃO SOLIDWORKS\CALCULOS.xlsx,.xlsx,71543,0.068,outros,1,
D:\INOXVAL\INOXVAL\CONFIGURAÇÃO SOLIDWORKS\CALIBRE DE DOBRA\TABELA CALIBRE DOBRA #FINA.xls,.xls,28160,0.027,outros,2,dobra
D:\INOXVAL\INOXVAL\CONFIGURAÇÃO SOLIDWORKS\CALIBRE DE DOBRA\TABELA CALIBRE DOBRA #GROSSA.xls,.xls,28160,0.027,outros,2,dobra
D:\INOXVAL\INOXVAL\01 - DIVERSOS\00 - ARQUIVOS PESSOAIS\GABRIEL\CALCULOS.xlsx,.xlsx,73527,0.07,outros,1,
